"","Timestamp","Age","Gender","Country","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"1","2014-08-27 11:33:26",36,"Male","United States","No","Yes","No","Never","500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"2","2014-08-27 11:34:00",29,"Female","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No"
"3","2014-08-27 11:34:53",46,"Male","United States","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes"
"4","2014-08-27 11:35:12",29,"Male","United States","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No"
"5","2014-08-27 11:35:24",31,"Male","United States","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"6","2014-08-27 11:35:48",46,"Male","United States","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"7","2014-08-27 11:36:24",41,"Male","United States","No","No","Yes","Never","26-100","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No"
"8","2014-08-27 11:36:48",33,"Male","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No"
"9","2014-08-27 11:37:08",35,"Male","United States","No","Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No"
"10","2014-08-27 11:37:59",35,"Female","United States","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"11","2014-08-27 11:38:12",34,"Male","United States","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No"
"12","2014-08-27 11:38:55",31,"Male","United States","Yes","Yes","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes"
"13","2014-08-27 11:39:36",42,"Male","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No"
"14","2014-08-27 11:40:51",40,"Female","United States","No","No","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No"
"15","2014-08-27 11:41:17",27,"Male","United States","No","No","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"16","2014-08-27 11:42:15",35,"Male","United States","No","No","Yes","Rarely","26-100","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"17","2014-08-27 11:43:22",30,"Male","United States","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No"
"18","2014-08-27 11:43:36",38,"Female","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"19","2014-08-27 11:44:43",30,"Male","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"20","2014-08-27 11:44:55",22,"Male","United States","No","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Don't know","No"
"21","2014-08-27 11:45:51",32,"Male","United States","No","No","No","Never","1-5","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"22","2014-08-27 11:46:49",27,"Male","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"23","2014-08-27 11:47:10",24,"Male","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No"
"24","2014-08-27 11:47:56",33,"Male","Canada","No","Yes","Yes","Often","6-25","Yes","Yes","Don't know","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","Don't know","No"
"25","2014-08-27 11:48:57",44,"Male","United States","No","Yes","Yes","Sometimes","26-100","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes"
"26","2014-08-27 11:51:07",40,"Male","United States","No","Yes","No","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes"
"27","2014-08-27 11:51:34",23,"Female","Australia","No","Yes","Yes","Often","1-5","Yes","Yes","No","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"28","2014-08-27 11:52:07",36,"Male","United States","No","No","No","Sometimes","100-500","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"29","2014-08-27 11:52:44",34,"Male","United States","Yes","No","No","Rarely","1-5","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"30","2014-08-27 11:54:27",23,"Non-Binary","United States","No","No","No","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Yes","Yes","No","No","No","No"
"31","2014-08-27 11:56:29",33,"Male","United States","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"32","2014-08-27 11:57:54",31,"Male","United States","Yes","Yes","No","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"33","2014-08-27 11:59:31",32,"Male","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Yes","No","No"
"34","2014-08-27 12:01:50",38,"Male","United States","No","Yes","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No"
"35","2014-08-27 12:03:30",27,"Female","United States","Yes","No","Yes","Often","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"36","2014-08-27 12:05:13",33,"Male","United States","No","Yes","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"37","2014-08-27 12:10:43",34,"Female","United States","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"38","2014-08-27 12:11:00",29,"Female","United States","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
